Hips	Spine	Spine1	Spine2	Spine3	Neck	Head	RightShoulder	RightArm	RightForeArm	RightHand	LeftShoulder	LeftArm	LeftForeArm	LeftHand	RightUpLeg	RightLeg	RightFoot	LeftUpLeg	LeftLeg	LeftFoot	
0.769914 -0.0372936 0.0376513 0.635944	0.712 -0.0338207 0.0411869 0.700154	0.689482 -0.0309857 0.0409372 0.722481	0.680922 0.0028397 0.00784776 0.732309	0.684811 0.00759392 -0.00770776 0.72864	0.745302 -0.0347022 -0.0362788 0.664834	0.832156 -0.00393427 -0.107338 0.54404	0.71756 0.161356 0.333633 0.589712	0.914989 -0.103654 0.095391 0.378088	0.9207 -0.0161395 0.0589901 0.385448	0.820344 0.0766043 0.368482 0.430568	0.667681 -0.276721 -0.269364 0.636451	0.905475 0.0626783 -0.0746261 0.413058	0.907236 0.0271523 -0.0583846 0.415664	0.842639 -0.0728968 -0.279237 0.454611	0.705116 -0.0323584 0.0599138 0.705815	0.635383 -0.0378664 0.0565938 0.769189	0.680876 0.0147089 0.055445 0.730148	0.69435 0.0182932 -0.0146629 0.719255	0.638091 0.0193476 -0.0132405 0.769604	0.693278 0.0748824 -0.0541075 0.714724	
0.769515 -0.0381205 0.0374487 0.636389	0.712224 -0.0346941 0.0412896 0.699877	0.689717 -0.0314574 0.0412209 0.72222	0.681236 0.00402523 0.00787648 0.73201	0.685086 0.00901221 -0.007862 0.728364	0.745702 -0.0347125 -0.0372682 0.66433	0.832228 -0.00361871 -0.107649 0.543871	0.719013 0.162349 0.333414 0.587791	0.916286 -0.101836 0.0951124 0.375503	0.921841 -0.0126377 0.0583073 0.382948	0.822036 0.0808519 0.370709 0.424611	0.667871 -0.276234 -0.270922 0.635802	0.904843 0.062178 -0.0749428 0.41446	0.906651 0.0242727 -0.0575397 0.417233	0.839721 -0.0736436 -0.276758 0.461357	0.70367 -0.0327722 0.0615337 0.707098	0.636321 -0.0382422 0.0582919 0.768268	0.681049 0.0150175 0.0559022 0.729946	0.691612 0.0142111 -0.008417 0.72208	0.640545 0.0147541 -0.00742416 0.767743	0.693421 0.0735746 -0.0538628 0.71474	
0.768977 -0.0391627 0.0382557 0.636928	0.712507 -0.0358169 0.042029 0.699489	0.690101 -0.0323931 0.0419718 0.721769	0.681501 0.00442419 0.00851184 0.731755	0.685235 0.00963115 -0.00725767 0.728222	0.745778 -0.035049 -0.0376828 0.664204	0.832234 -0.00324398 -0.107997 0.543795	0.720187 0.163308 0.333748 0.585896	0.91613 -0.099597 0.0938186 0.376808	0.921469 -0.0104379 0.0568988 0.384121	0.820757 0.0851111 0.371341 0.425699	0.668764 -0.275756 -0.271856 0.634672	0.903906 0.0613212 -0.0754081 0.416541	0.905711 0.0222329 -0.0573513 0.419409	0.836713 -0.0724924 -0.275603 0.467652	0.702436 -0.0323464 0.061733 0.708326	0.6375 -0.037644 0.058653 0.767291	0.681194 0.0152768 0.0563889 0.729769	0.68919 0.0097794 -0.00204617 0.724512	0.642609 0.00988808 -0.00143158 0.766129	0.69343 0.0725392 -0.0537511 0.714846	
0.768211 -0.0405413 0.0402887 0.63764	0.712561 -0.0374582 0.0436383 0.699249	0.690414 -0.0341149 0.0434142 0.721304	0.681651 0.00366588 0.00939265 0.731608	0.685275 0.00904975 -0.00646315 0.728199	0.745844 -0.0354475 -0.0375 0.664119	0.832666 -0.00264989 -0.108176 0.5431	0.72052 0.163821 0.33423 0.585067	0.915935 -0.0974352 0.0924225 0.378189	0.921068 -0.00809617 0.0552881 0.385373	0.81952 0.0885358 0.370997 0.42768	0.6694 -0.275681 -0.272198 0.633887	0.903723 0.0609627 -0.0763909 0.416812	0.905528 0.0212447 -0.0580258 0.419763	0.834797 -0.0733664 -0.276755 0.470253	0.701502 -0.0316171 0.0615923 0.709297	0.638738 -0.036733 0.058685 0.766303	0.681339 0.0153836 0.0568145 0.729597	0.68716 0.00710338 0.0021835 0.726468	0.644058 0.00696543 0.00259009 0.76494	0.69364 0.0717997 -0.053908 0.714704	
0.767646 -0.0422715 0.0434858 0.637998	0.71257 -0.0398494 0.0459639 0.698959	0.690779 -0.0369147 0.0453518 0.720698	0.681851 0.00173811 0.0101006 0.731419	0.685363 0.00732939 -0.0058892 0.728141	0.745924 -0.0354872 -0.0370969 0.66405	0.832912 -0.00185393 -0.108247 0.542713	0.720177 0.164374 0.33463 0.585107	0.916212 -0.0954249 0.0912149 0.378324	0.921153 -0.00530503 0.0537537 0.385435	0.820375 0.0901692 0.369259 0.427202	0.670447 -0.275837 -0.272085 0.63276	0.905028 0.0608394 -0.0775901 0.413767	0.906837 0.0205989 -0.0591436 0.416803	0.835884 -0.0750675 -0.280903 0.465571	0.700436 -0.0322642 0.0633006 0.71017	0.640067 -0.0373285 0.0604527 0.765027	0.681567 0.0153229 0.0570686 0.729366	0.685201 0.00797494 0.00213212 0.728307	0.644981 0.00784854 0.00255854 0.764154	0.694245 0.071995 -0.0529873 0.714166	
0.767486 -0.0441698 0.0473774 0.637785	0.712624 -0.0427379 0.0486099 0.698554	0.691112 -0.0404452 0.0474287 0.720055	0.682159 -0.000759857 0.0104725 0.731129	0.685597 0.00504069 -0.00566722 0.727942	0.746039 -0.0348444 -0.0365849 0.663983	0.83317 -0.00114352 -0.107949 0.542377	0.719613 0.16529 0.334861 0.585409	0.916754 -0.0937061 0.0901252 0.377703	0.921527 -0.00254116 0.0523124 0.384767	0.822694 0.0910928 0.366906 0.424567	0.67139 -0.276205 -0.271763 0.631737	0.906766 0.0607639 -0.0787475 0.409733	0.908568 0.0205437 -0.0605232 0.412819	0.83676 -0.0754941 -0.285933 0.460842	0.698934 -0.0344393 0.0669833 0.711209	0.641545 -0.0395411 0.0641041 0.763379	0.682147 0.0148365 0.0569734 0.728841	0.68355 0.0113775 -0.000854977 0.729815	0.645168 0.0114064 -0.000269564 0.763955	0.694958 0.072432 -0.0522737 0.713481	
0.76771 -0.0460623 0.0511839 0.637087	0.712878 -0.0456257 0.0511843 0.697928	0.691685 -0.0439787 0.0494042 0.719164	0.682618 -0.00316666 0.0105893 0.730692	0.685945 0.00286666 -0.00574997 0.727625	0.745945 -0.0337262 -0.0362897 0.664163	0.833238 -0.000141573 -0.107565 0.542351	0.719277 0.166806 0.334914 0.585362	0.917282 -0.0921273 0.0888468 0.377111	0.921897 -0.000393127 0.0508803 0.38408	0.825251 0.0920284 0.364215 0.421709	0.671916 -0.276897 -0.271382 0.631038	0.908002 0.060708 -0.0795618 0.406837	0.909779 0.0213507 -0.0618784 0.409899	0.836467 -0.0740636 -0.29064 0.458656	0.696888 -0.0375418 0.071638 0.712605	0.643288 -0.0426459 0.068722 0.76134	0.682728 0.0144133 0.0569096 0.72831	0.68181 0.0142014 -0.00324009 0.731384	0.645337 0.0143425 -0.00254379 0.763759	0.695431 0.0729602 -0.0516266 0.713013	
0.768019 -0.0477626 0.0544706 0.636316	0.713199 -0.0482758 0.0533698 0.697258	0.692311 -0.0471505 0.0510479 0.718246	0.683186 -0.00505945 0.0106836 0.730149	0.686417 0.00128307 -0.00582865 0.727183	0.745908 -0.0324971 -0.035983 0.664282	0.83301 0.000589747 -0.107758 0.542663	0.719313 0.16806 0.334844 0.584999	0.917312 -0.0907748 0.0873108 0.377725	0.921791 0.00107882 0.0492394 0.384545	0.826541 0.0930998 0.361661 0.421146	0.67162 -0.277235 -0.271685 0.631074	0.908555 0.0607115 -0.079928 0.405528	0.910296 0.0228211 -0.06297 0.408505	0.836007 -0.0723477 -0.293941 0.457665	0.694706 -0.0402268 0.0755779 0.714181	0.645025 -0.0452259 0.0726968 0.75935	0.683197 0.0140211 0.0565252 0.727908	0.679827 0.015529 -0.00398997 0.733197	0.645869 0.015694 -0.00328145 0.76328	0.695484 0.0728386 -0.0514709 0.712985	
0.76805 -0.0493636 0.0571081 0.635925	0.713562 -0.0506452 0.0552445 0.696572	0.693078 -0.0498002 0.0525629 0.717217	0.683773 -0.00648013 0.0109678 0.729584	0.686854 0.000173025 -0.00576183 0.726772	0.745837 -0.0318124 -0.0357878 0.664405	0.832732 0.00115605 -0.108062 0.543027	0.719453 0.168405 0.334884 0.584705	0.917044 -0.0896653 0.085654 0.379016	0.921415 0.00211114 0.047481 0.385662	0.826554 0.0940851 0.359495 0.422753	0.671581 -0.277363 -0.272031 0.630911	0.908727 0.0609443 -0.0801186 0.40507	0.910434 0.0246737 -0.0639086 0.407942	0.836592 -0.0707569 -0.294773 0.456308	0.692646 -0.042311 0.0785244 0.715741	0.646653 -0.0471266 0.0757323 0.757551	0.683297 0.013714 0.0562985 0.727837	0.677581 0.0150269 -0.00280643 0.73529	0.646999 0.0151289 -0.00219065 0.762338	0.695205 0.0720361 -0.0515447 0.713333	
0.767841 -0.0509152 0.0593365 0.635851	0.713924 -0.0528102 0.0569989 0.695898	0.693806 -0.0520166 0.0541773 0.716235	0.684306 -0.00755119 0.0114488 0.729066	0.687277 -0.000654523 -0.00558345 0.726374	0.746083 -0.0314297 -0.0357836 0.664147	0.832456 0.00162638 -0.108595 0.543343	0.71993 0.168023 0.334872 0.584235	0.917049 -0.0889254 0.0840511 0.379537	0.921345 0.00338393 0.0456096 0.386047	0.826707 0.0939905 0.357942 0.423791	0.67245 -0.277111 -0.272526 0.629881	0.909159 0.0614556 -0.0800843 0.40403	0.910846 0.0265791 -0.0645464 0.406802	0.837904 -0.0685314 -0.294336 0.454517	0.690641 -0.0446158 0.0813524 0.717221	0.648187 -0.0492271 0.0786478 0.755807	0.683276 0.0135869 0.0563683 0.727854	0.675511 0.013913 -0.0012413 0.737218	0.648044 0.0139492 -0.000730668 0.761475	0.695006 0.071774 -0.0511128 0.713584	
0.767389 -0.052492 0.0613078 0.636082	0.714036 -0.0546434 0.0587546 0.695496	0.694207 -0.0538117 0.0558771 0.715583	0.684874 -0.008293 0.0119305 0.728517	0.68787 -0.00119346 -0.00550604 0.725812	0.746354 -0.0314765 -0.0362388 0.663816	0.832211 0.00196999 -0.109024 0.543632	0.720951 0.167311 0.334735 0.583258	0.91762 -0.0886776 0.0827561 0.3785	0.921881 0.00489813 0.0439196 0.384944	0.82819 0.0944741 0.356075 0.422358	0.673751 -0.276459 -0.273012 0.628565	0.910053 0.0622648 -0.0800474 0.401894	0.911746 0.02817 -0.0649538 0.404607	0.83962 -0.0663998 -0.293683 0.452084	0.688943 -0.0468412 0.0838352 0.718426	0.649471 -0.0512646 0.0812058 0.754297	0.683483 0.0135737 0.0567302 0.727632	0.673429 0.0110132 0.00214774 0.739166	0.649179 0.010938 0.0025027 0.760553	0.695043 0.0718301 -0.0504308 0.713591	
0.766863 -0.0538561 0.0631942 0.636418	0.713988 -0.0562558 0.0604346 0.695273	0.69429 -0.0553923 0.0575119 0.715252	0.6854 -0.00885833 0.0123634 0.728008	0.688539 -0.00159657 -0.00547626 0.725177	0.746821 -0.0318006 -0.0368668 0.663241	0.832037 0.00217564 -0.109507 0.5438	0.722351 0.166574 0.334552 0.58184	0.918588 -0.0887986 0.08169 0.376349	0.922848 0.00640352 0.0424437 0.382766	0.830614 0.0954612 0.353845 0.419239	0.675236 -0.275364 -0.273135 0.627397	0.911093 0.0632369 -0.080102 0.399368	0.912805 0.0295814 -0.0653138 0.402052	0.839401 -0.0627438 -0.293866 0.452893	0.687593 -0.0488455 0.0861435 0.719312	0.650285 -0.0531451 0.0835594 0.753208	0.683765 0.0135322 0.0566005 0.727378	0.671384 0.00789074 0.00570667 0.741045	0.650272 0.00772708 0.00592639 0.759639	0.695277 0.0722267 -0.0497326 0.713372	
0.766316 -0.0549744 0.0647494 0.636825	0.714014 -0.0575544 0.0616848 0.695029	0.694482 -0.0567078 0.0586843 0.714868	0.685748 -0.00921546 0.0127628 0.727669	0.68895 -0.00184261 -0.00527807 0.724788	0.747378 -0.0322736 -0.0373688 0.662562	0.831955 0.00202044 -0.110411 0.543743	0.72351 0.166183 0.334373 0.580612	0.919106 -0.089305 0.0807521 0.375164	0.923406 0.00720569 0.0411157 0.381547	0.833094 0.0969216 0.351289 0.416121	0.676254 -0.274313 -0.272804 0.626905	0.911736 0.0644392 -0.0803056 0.397663	0.913482 0.0310773 -0.0657195 0.400332	0.83972 -0.060553 -0.294573 0.45214	0.686632 -0.0504525 0.0880651 0.719886	0.650788 -0.0546781 0.0855056 0.752445	0.683924 0.0133334 0.0562779 0.727258	0.669771 0.00697556 0.00682461 0.742504	0.651041 0.00680315 0.00699649 0.75898	0.695395 0.0724842 -0.0496259 0.713238	
0.765795 -0.0558305 0.0657647 0.637272	0.714072 -0.0585121 0.0624103 0.694825	0.694783 -0.0576561 0.059347 0.714444	0.685832 -0.0093529 0.0132077 0.727579	0.68903 -0.00190085 -0.00484803 0.724715	0.748227 -0.0328872 -0.0373772 0.661572	0.832024 0.00138814 -0.111724 0.543371	0.723717 0.165817 0.334357 0.580468	0.918781 -0.0901325 0.0800801 0.375906	0.923163 0.00717305 0.0400284 0.382251	0.833498 0.0968471 0.349298 0.417005	0.676482 -0.273419 -0.272312 0.627264	0.911764 0.0659011 -0.0807032 0.397278	0.91356 0.0326321 -0.0661726 0.399955	0.840297 -0.0593565 -0.295103 0.450879	0.685897 -0.0513908 0.0893284 0.720364	0.651208 -0.0555409 0.0868089 0.751869	0.683625 0.0132058 0.0559611 0.727565	0.66804 0.00596913 0.0081505 0.744057	0.652131 0.00579517 0.00827509 0.758039	0.695247 0.0717894 -0.0500172 0.713426	
0.76561 -0.0562681 0.0661376 0.637418	0.714276 -0.0589532 0.0626756 0.694554	0.695174 -0.0580609 0.0595768 0.714011	0.685786 -0.0092178 0.0135214 0.727619	0.688933 -0.00173645 -0.00452011 0.724809	0.74888 -0.0335827 -0.0373691 0.660799	0.832372 0.000784292 -0.112833 0.542609	0.723445 0.165737 0.334437 0.580785	0.918077 -0.0909654 0.0796356 0.377517	0.922548 0.00662258 0.0392703 0.383821	0.833229 0.0959701 0.346876 0.419756	0.675839 -0.272415 -0.272065 0.6285	0.911426 0.0673449 -0.0810249 0.397747	0.913265 0.0343351 -0.0665856 0.400417	0.840851 -0.0584063 -0.295239 0.44988	0.685238 -0.0517043 0.0897984 0.72091	0.651495 -0.0557635 0.0873357 0.751543	0.683397 0.0129881 0.0559016 0.727788	0.665972 0.00477282 0.00962493 0.7459	0.653648 0.00461432 0.00970192 0.756722	0.695098 0.0712326 -0.0501624 0.713616	
0.765786 -0.0560906 0.0659051 0.637245	0.714501 -0.0588279 0.0625201 0.694348	0.695459 -0.0578565 0.0594654 0.71376	0.685695 -0.00884382 0.0136172 0.727708	0.688766 -0.0013434 -0.00440432 0.724969	0.749223 -0.0343687 -0.0376192 0.660355	0.833083 0.000650399 -0.113204 0.54144	0.723313 0.165812 0.334471 0.580908	0.91766 -0.0915198 0.0794089 0.378441	0.922192 0.00614979 0.038896 0.384721	0.833523 0.094522 0.344263 0.42165	0.675774 -0.271956 -0.271464 0.629028	0.91096 0.0685957 -0.0812326 0.398558	0.912823 0.0361474 -0.0670036 0.401195	0.8405 -0.0559484 -0.29451 0.451324	0.68443 -0.0515233 0.0896187 0.721712	0.651821 -0.0554387 0.0872508 0.751294	0.683271 0.0129444 0.0558239 0.727913	0.663562 0.0041503 0.0103785 0.748038	0.655591 0.00404 0.0104219 0.755033	0.695234 0.0709453 -0.0501394 0.713514	
0.766382 -0.0552533 0.0653473 0.636659	0.714674 -0.0581237 0.0621412 0.694263	0.695476 -0.0570941 0.0591498 0.713831	0.685652 -0.00825581 0.0134947 0.727758	0.688703 -0.000764411 -0.00453532 0.725029	0.749423 -0.0348295 -0.0380688 0.660078	0.833891 0.000872859 -0.113318 0.540171	0.723663 0.165891 0.334377 0.580503	0.917729 -0.0916891 0.0793436 0.378248	0.922279 0.00591875 0.0388807 0.384519	0.833888 0.0928111 0.342911 0.422409	0.676362 -0.27197 -0.270846 0.628656	0.910718 0.0696218 -0.0811969 0.39894	0.912585 0.0379809 -0.0673061 0.401517	0.841285 -0.0547237 -0.293251 0.450831	0.683319 -0.0503121 0.0879943 0.72305	0.652433 -0.0539537 0.0858096 0.751037	0.683462 0.0132427 0.055864 0.727725	0.660847 0.00471113 0.00960557 0.750444	0.657777 0.00467187 0.00962472 0.753137	0.695745 0.071366 -0.0498113 0.712997	
0.767032 -0.0539767 0.0643898 0.636083	0.714834 -0.0570365 0.0614361 0.694251	0.695405 -0.055938 0.0585567 0.71404	0.685632 -0.00749896 0.013104 0.727792	0.688698 -8.99812e-05 -0.00492677 0.725032	0.749532 -0.0346505 -0.0386229 0.659931	0.834551 0.0012145 -0.113591 0.539092	0.724312 0.165961 0.33408 0.579844	0.917984 -0.0916861 0.0794375 0.377608	0.922534 0.00565983 0.0391619 0.383881	0.833988 0.0921923 0.343361 0.421981	0.676755 -0.271804 -0.270429 0.628485	0.910706 0.0704459 -0.0809898 0.398865	0.912567 0.0396045 -0.0674534 0.401376	0.840658 -0.0521265 -0.292405 0.452854	0.682156 -0.0488855 0.0861231 0.724469	0.653005 -0.0522495 0.0841248 0.750852	0.683526 0.0136863 0.0559561 0.72765	0.65809 0.0055081 0.0085152 0.752871	0.660055 0.00553033 0.00850077 0.751149	0.696293 0.0721447 -0.0491669 0.712428	
0.767527 -0.0524449 0.0632308 0.635731	0.715129 -0.0556854 0.0604487 0.694143	0.695597 -0.0544992 0.057722 0.714033	0.685559 -0.00676209 0.0127384 0.727874	0.68854 0.000507735 -0.00520103 0.725179	0.749454 -0.0346884 -0.0390212 0.659995	0.835095 0.0013935 -0.113712 0.538223	0.72456 0.165833 0.33367 0.579807	0.918162 -0.0916344 0.0796085 0.377152	0.922708 0.00526388 0.0395738 0.383426	0.833435 0.0921797 0.345172 0.421598	0.676602 -0.271264 -0.270189 0.628986	0.910678 0.0712313 -0.0806563 0.398857	0.912538 0.0410093 -0.0673926 0.401311	0.840768 -0.050795 -0.29226 0.452895	0.680977 -0.0476443 0.0845508 0.725845	0.653554 -0.0507512 0.0827233 0.750632	0.683343 0.0136824 0.0557411 0.727838	0.656008 0.00808061 0.00544564 0.754691	0.661739 0.00812187 0.00538391 0.749671	0.696516 0.0720133 -0.0488554 0.712245	
