Hips	Spine	Spine1	Spine2	Spine3	Neck	Head	RightShoulder	RightArm	RightForeArm	RightHand	LeftShoulder	LeftArm	LeftForeArm	LeftHand	RightUpLeg	RightLeg	RightFoot	LeftUpLeg	LeftLeg	LeftFoot	
-0.917487 33.7521 5.52511	-1.13767 36.0874 7.81352	-1.24491 39.6561 8.49909	-1.31948 43.288 8.64263	-1.37346 46.9135 8.37842	-1.40782 56.354 6.42681	-0.911415 61.3189 6.12244	-0.269624 52.985 6.05895	3.86833 56.551 7.70486	14.7897 55.2141 10.5815	23.3708 55.3504 11.6282	-2.56645 52.9869 6.10863	-6.56994 57.0512 6.15119	-17.7267 56.4614 8.27703	-26.3007 56.4551 9.3881	2.48163 32.7419 5.69685	3.06062 17.8363 5.7495	3.26259 3.3251 8.5536	-4.29561 32.8069 4.97842	-4.20682 17.8994 5.50181	-4.0164 3.3746 8.23528	
-0.969091 33.7599 5.49951	-1.18723 36.0981 7.78514	-1.29162 39.6664 8.47333	-1.36561 43.2982 8.61941	-1.42605 46.9239 8.35837	-1.48098 56.3658 6.41441	-0.978349 61.3304 6.11606	-0.337873 52.999 6.04126	3.79808 56.5671 7.68778	14.7292 55.257 10.5398	23.3134 55.4417 11.5529	-2.63458 52.9969 6.09617	-6.63154 57.0674 6.15677	-17.7886 56.4943 8.28533	-26.3669 56.5289 9.36253	2.42828 32.7445 5.67488	3.02872 17.84 5.78748	3.25671 3.3223 8.55547	-4.34831 32.8195 4.95139	-4.21584 17.9169 5.59193	-4.02157 3.3758 8.23726	
-1.00859 33.7625 5.4797	-1.23106 36.1043 7.76128	-1.33543 39.6719 8.45272	-1.40925 43.3036 8.603	-1.47497 46.9293 8.34461	-1.54631 56.372 6.40473	-1.03848 61.3361 6.10775	-0.397435 53.0073 6.03004	3.73242 56.5805 7.68086	14.6793 55.3092 10.4894	23.2673 55.5208 11.4654	-2.69413 53.0013 6.08512	-6.68832 57.0742 6.16263	-17.8462 56.5279 8.29399	-26.4265 56.5957 9.35342	2.38765 32.7451 5.66532	2.9978 17.8416 5.83052	3.24929 3.31606 8.55543	-4.38702 32.8235 4.92432	-4.21771 17.926 5.66782	-4.02096 3.3716 8.23843	
-1.04819 33.7611 5.46621	-1.28262 36.1076 7.74168	-1.38995 39.675 8.43421	-1.4636 43.3065 8.58831	-1.52965 46.9323 8.33137	-1.60064 56.3752 6.39226	-1.09081 61.3392 6.09655	-0.449826 53.0109 6.01948	3.67443 56.589 7.67366	14.6369 55.3541 10.4373	23.2287 55.5936 11.3718	-2.74662 53.0041 6.07011	-6.73916 57.0785 6.15521	-17.8946 56.5496 8.30343	-26.4744 56.6381 9.3662	2.34746 32.7454 5.67057	2.96744 17.8427 5.87629	3.24342 3.30934 8.55651	-4.42353 32.8197 4.89631	-4.22482 17.9271 5.72452	-4.01799 3.3634 8.24144	
-1.09539 33.7595 5.4517	-1.34919 36.1089 7.72217	-1.46069 39.6759 8.41561	-1.53178 43.3073 8.57458	-1.5911 46.9334 8.31954	-1.64131 56.3767 6.38208	-1.13366 61.341 6.08759	-0.494409 53.0108 6.01242	3.62473 56.5956 7.66481	14.6011 55.3919 10.3868	23.1964 55.6656 11.2784	-2.79137 53.0074 6.05549	-6.78363 57.082 6.1454	-17.9352 56.5598 8.3152	-26.5132 56.6631 9.39108	2.30007 32.7486 5.68171	2.93926 17.8474 5.93078	3.23891 3.30513 8.55946	-4.46531 32.8128 4.85906	-4.24845 17.925 5.76707	-4.02237 3.35555 8.24844	
-1.14699 33.7601 5.43051	-1.42475 36.109 7.69864	-1.54035 39.6756 8.39372	-1.60618 43.3068 8.55772	-1.65409 46.9333 8.30571	-1.67064 56.3779 6.37371	-1.17116 61.343 6.08048	-0.531886 53.0089 6.00622	3.58205 56.6029 7.65166	14.5703 55.4232 10.336	23.1687 55.7308 11.1865	-2.82899 53.012 6.04093	-6.82093 57.0869 6.13187	-17.9686 56.5675 8.32232	-26.5438 56.6768 9.41982	2.24849 32.7562 5.68917	2.91448 17.8573 5.99662	3.23791 3.30461 8.5643	-4.50984 32.8064 4.80953	-4.27956 17.923 5.78302	-4.02709 3.35242 8.25523	
-1.19389 33.7615 5.40431	-1.49525 36.1071 7.67286	-1.61468 39.6728 8.37169	-1.6749 43.3038 8.5433	-1.71064 46.9307 8.29592	-1.69194 56.3771 6.37255	-1.20304 61.3432 6.07715	-0.562544 53.0049 6.00544	3.54523 56.6109 7.64001	14.5454 55.4508 10.2839	23.1464 55.7825 11.0976	-2.85972 53.0151 6.03315	-6.84965 57.0921 6.12002	-17.9946 56.5745 8.32498	-26.5663 56.6772 9.44975	2.20137 32.7642 5.68995	2.89265 17.8683 6.07595	3.23971 3.30329 8.56985	-4.54952 32.8017 4.75431	-4.30555 17.9232 5.79652	-4.03026 3.35156 8.26005	
-1.23039 33.7607 5.37481	-1.55216 36.1025 7.64449	-1.67414 39.6673 8.34775	-1.72875 43.2979 8.52747	-1.75496 46.9253 8.28584	-1.71036 56.374 6.3746	-1.23297 61.3412 6.07785	-0.587899 52.9998 6.00566	3.51563 56.6143 7.63211	14.5276 55.4704 10.2337	23.1314 55.815 11.0114	-2.8851 53.0153 6.02833	-6.87102 57.0961 6.11405	-18.0146 56.5788 8.32581	-26.5828 56.6643 9.47819	2.16438 32.7687 5.68363	2.87369 17.876 6.15399	3.24466 3.29935 8.57503	-4.5796 32.7963 4.6991	-4.32084 17.9238 5.82067	-4.02937 3.34879 8.26269	
-1.25589 33.7583 5.34381	-1.59376 36.0985 7.61279	-1.71764 39.6622 8.32086	-1.76857 43.2925 8.5099	-1.78872 46.9203 8.27422	-1.72733 56.3712 6.37429	-1.25651 61.3389 6.07603	-0.609064 52.9958 6.00326	3.49283 56.6125 7.62883	14.5158 55.4806 10.1884	23.1225 55.8309 10.9309	-2.90628 53.0145 6.02202	-6.88924 57.0982 6.10987	-18.0315 56.5767 8.32739	-26.5961 56.6391 9.50755	2.13786 32.7693 5.67285	2.85703 17.8799 6.22333	3.24937 3.29273 8.57703	-4.59999 32.7911 4.64707	-4.32708 17.926 5.86008	-4.02803 3.34412 8.25945	
-1.272 33.758 5.31461	-1.6232 36.0985 7.58126	-1.74912 39.6612 8.29408	-1.79899 43.291 8.49184	-1.81592 46.9192 8.26158	-1.74344 56.3722 6.37263	-1.27561 61.3404 6.07782	-0.627613 52.9963 5.99934	3.47584 56.6089 7.63008	14.508 55.4796 10.151	23.1176 55.838 10.855	-2.92483 53.017 6.01479	-6.90631 57.1019 6.1142	-18.0473 56.567 8.33506	-26.6088 56.6024 9.53862	2.12035 32.7706 5.66226	2.84192 17.8843 6.2895	3.24905 3.28724 8.57849	-4.61184 32.7892 4.59992	-4.33085 17.9314 5.89745	-4.03084 3.34315 8.2578	
-1.2832 33.7592 5.28611	-1.6459 36.1018 7.54875	-1.77503 39.664 8.26361	-1.8261 43.2935 8.46654	-1.84158 46.9221 8.24202	-1.76141 56.3781 6.36852	-1.29037 61.3462 6.07782	-0.647391 53.0021 5.99074	3.45983 56.6061 7.63087	14.4979 55.4677 10.1216	23.1099 55.8382 10.7891	-2.94461 53.0242 6.00416	-6.92718 57.1076 6.1202	-18.066 56.5505 8.34633	-26.6251 56.5608 9.56744	2.10736 32.7722 5.65186	2.82653 17.8886 6.34294	3.24252 3.28322 8.57661	-4.61937 32.7897 4.55544	-4.33335 17.9398 5.93888	-4.0394 3.34475 8.25795	
-1.291 33.7634 5.25931	-1.66472 36.1087 7.51738	-1.79739 39.6707 8.23255	-1.85008 43.3001 8.43735	-1.86481 46.929 8.21814	-1.77857 56.3884 6.3621	-1.30104 61.3563 6.07861	-0.666053 53.0125 5.97881	3.44537 56.6065 7.63038	14.487 55.4504 10.0973	23.1009 55.8335 10.7322	-2.96327 53.0358 5.99081	-6.95197 57.1126 6.12395	-18.0878 56.5298 8.35836	-26.6447 56.5169 9.59491	2.09802 32.7775 5.64206	2.81691 17.8963 6.38283	3.23989 3.28554 8.57943	-4.62353 32.7923 4.51428	-4.33477 17.9504 5.98154	-4.04733 3.34899 8.26039	
-1.296 33.7659 5.23611	-1.67873 36.1142 7.48957	-1.81369 39.6759 8.20568	-1.86681 43.3051 8.41331	-1.88168 46.9342 8.19761	-1.79376 56.3957 6.35231	-1.30935 61.3634 6.07749	-0.681179 53.0202 5.96591	3.43309 56.6073 7.62536	14.4761 55.4294 10.0756	23.0918 55.8157 10.6845	-2.9784 53.0436 5.97649	-6.97575 57.1117 6.1193	-18.1074 56.5017 8.36752	-26.6618 56.4658 9.62074	2.09168 32.7811 5.63317	2.81211 17.9017 6.40858	3.24087 3.28746 8.58095	-4.6255 32.7932 4.47961	-4.33461 17.958 6.01184	-4.04732 3.35204 8.2615	
-1.2985 33.7649 5.21511	-1.68692 36.1162 7.46437	-1.82242 39.6777 8.18161	-1.87497 43.3068 8.39294	-1.89136 46.9359 8.17811	-1.80731 56.3978 6.3349	-1.31795 61.3658 6.07325	-0.692643 53.023 5.94853	3.42315 56.6068 7.61133	14.4652 55.4079 10.0555	23.0824 55.787 10.647	-2.98988 53.0451 5.95755	-6.99588 57.1046 6.10255	-18.1217 56.4672 8.37173	-26.6733 56.4093 9.64272	2.08797 32.7802 5.62253	2.81144 17.9024 6.42519	3.24811 3.28557 8.57857	-4.6261 32.7917 4.45105	-4.33116 17.9639 6.05274	-4.04176 3.35157 8.26076	
-1.2994 33.7592 5.19391	-1.68982 36.1116 7.44169	-1.82532 39.6727 8.16126	-1.87757 43.3014 8.37684	-1.89622 46.9305 8.16153	-1.81843 56.392 6.31577	-1.32361 61.36 6.06441	-0.701308 53.0179 5.93056	3.41417 56.6022 7.59291	14.4545 55.3865 10.037	23.0728 55.7528 10.6195	-2.99857 53.0384 5.93908	-7.01235 57.0902 6.08352	-18.1326 56.4271 8.3725	-26.6813 56.3459 9.66173	2.08637 32.7738 5.60562	2.81012 17.8975 6.43428	3.25325 3.27917 8.57589	-4.62636 32.7864 4.42651	-4.32892 17.9678 6.1109	-4.03823 3.34688 8.26073	
-1.3014 33.7518 5.17191	-1.69055 36.1031 7.42108	-1.82581 39.6637 8.14287	-1.87864 43.2923 8.36118	-1.89974 46.9213 8.14491	-1.82943 56.382 6.29477	-1.32689 61.3495 6.04912	-0.710068 53.0085 5.91065	3.40487 56.5939 7.57205	14.4437 55.3672 10.0173	23.0626 55.724 10.5966	-3.00734 53.0274 5.92011	-7.02769 57.0728 6.06137	-18.1433 56.3879 8.36638	-26.6889 56.2821 9.67474	2.08463 32.7663 5.58115	2.8052 17.8917 6.44336	3.25517 3.27192 8.57347	-4.62879 32.7793 4.40598	-4.33072 17.972 6.18613	-4.03856 3.3402 8.26092	
-1.3006 33.7475 5.14961	-1.68708 36.0949 7.40331	-1.82305 39.6552 8.12645	-1.87774 43.2838 8.34437	-1.90133 46.9128 8.12759	-1.83866 56.3732 6.27581	-1.32972 61.3402 6.0335	-0.717642 53.0003 5.89111	3.39771 56.5849 7.5533	14.436 55.3536 9.99836	23.0551 55.7065 10.5791	-3.01491 53.0178 5.90291	-7.03901 57.0595 6.04228	-18.1515 56.3541 8.356	-26.694 56.2221 9.68179	2.08692 32.7638 5.55071	2.79547 17.8915 6.46197	3.25261 3.26922 8.57329	-4.62878 32.7739 4.38855	-4.33392 17.9797 6.27582	-4.04275 3.33613 8.26556	
-1.3004 33.7453 5.12781	-1.68192 36.0887 7.38657	-1.81818 39.6487 8.11071	-1.87497 43.2774 8.3271	-1.90061 46.9063 8.11004	-1.84418 56.3668 6.25811	-1.33317 61.3336 6.01733	-0.722521 52.9942 5.87172	3.39483 56.5761 7.53472	14.4328 55.344 9.98085	23.0515 55.6943 10.568	-3.01978 53.0109 5.88701	-7.04748 57.0491 6.0261	-18.1581 56.3246 8.34288	-26.6981 56.1678 9.68214	2.08922 32.7639 5.51674	2.78534 17.8943 6.47958	3.24953 3.26985 8.5742	-4.63007 32.77 4.37551	-4.33917 17.9899 6.37102	-4.0505 3.33449 8.27176	
-1.2993 33.7454 5.10641	-1.67462 36.0859 7.36916	-1.81064 39.6455 8.09558	-1.86974 43.2741 8.31291	-1.89745 46.903 8.09505	-1.84737 56.3627 6.23903	-1.3336 61.3292 5.9971	-0.724754 52.9904 5.85268	3.3962 56.5689 7.51415	14.4338 55.3382 9.96278	23.052 55.6845 10.5593	-3.02199 53.0062 5.87082	-7.05454 57.0395 6.0099	-18.1639 56.2958 8.32683	-26.7021 56.1163 9.67481	2.09271 32.7669 5.48154	2.77873 17.9003 6.49589	3.25079 3.27367 8.57384	-4.63082 32.7677 4.36554	-4.34231 17.9987 6.44162	-4.05699 3.33465 8.27551	
-1.2973 33.7413 5.08801	-1.66419 36.0817 7.35223	-1.79945 39.6409 8.08076	-1.86106 43.2693 8.30101	-1.89093 46.8981 8.08181	-1.8478 56.3564 6.2187	-1.33301 61.3227 5.97589	-0.723713 52.9845 5.83379	3.40038 56.5607 7.4924	14.4364 55.3342 9.95033	23.0541 55.6792 10.5547	-3.02094 52.999 5.85412	-7.05793 57.028 5.98954	-18.1657 56.2674 8.30849	-26.7024 56.0696 9.66316	2.09659 32.7641 5.4492	2.77635 17.9004 6.51005	3.25488 3.27173 8.57181	-4.63147 32.7623 4.36087	-4.34045 18.0016 6.4951	-4.05558 3.33109 8.27623	
-1.2982 33.7347 5.07191	-1.65463 36.0771 7.33579	-1.78791 39.6359 8.06636	-1.85136 43.264 8.29066	-1.8837 46.8927 8.06982	-1.84881 56.3494 6.1986	-1.33107 61.3155 5.95564	-0.722699 52.978 5.81558	3.40338 56.5534 7.47092	14.4364 55.3294 9.94344	23.0536 55.6804 10.5515	-3.01992 52.9909 5.83791	-7.06141 57.0155 5.96891	-18.1686 56.2414 8.28644	-26.7045 56.0286 9.6436	2.09738 32.7579 5.41813	2.77214 17.8971 6.52048	3.25492 3.26642 8.56738	-4.63568 32.7549 4.36116	-4.33886 18.0013 6.54269	-4.0515 3.32514 8.27637	
-1.2997 33.7323 5.05651	-1.64556 36.0766 7.32003	-1.77632 39.6353 8.05214	-1.84123 43.2631 8.27953	-1.87642 46.8916 8.05718	-1.85126 56.347 6.17886	-1.32822 61.3124 5.93394	-0.723056 52.9762 5.79688	3.40458 56.55 7.45179	14.4344 55.3263 9.93853	23.0511 55.6894 10.5473	-3.02026 52.9873 5.82222	-7.06549 57.0084 5.94693	-18.1721 56.2192 8.26221	-26.7076 55.9914 9.61934	2.09775 32.7566 5.38696	2.76633 17.8993 6.53981	3.25557 3.26609 8.56703	-4.6404 32.7512 4.36299	-4.33998 18.0045 6.59022	-4.0514 3.32298 8.27822	
-1.3036 33.7314 5.04021	-1.63858 36.0765 7.30449	-1.76637 39.635 8.03795	-1.8319 43.2627 8.26682	-1.86976 46.8912 8.04344	-1.85288 56.3456 6.16025	-1.32468 61.3103 5.9124	-0.723497 52.9752 5.7781	3.40406 56.5481 7.43527	14.4321 55.3235 9.92973	23.0482 55.6981 10.5395	-3.02066 52.9851 5.80729	-7.07143 57.0008 5.92439	-18.1778 56.1959 8.23519	-26.7138 55.9563 9.58725	2.09539 32.7558 5.35472	2.75393 17.9032 6.57313	3.25288 3.2659 8.56767	-4.6476 32.75 4.36309	-4.34488 18.01 6.6336	-4.05585 3.32367 8.27905	
-1.3035 33.73 5.02591	-1.62984 36.0755 7.29115	-1.75537 39.634 8.02457	-1.82111 43.2618 8.25265	-1.86174 46.8902 8.02856	-1.85471 56.3441 6.14298	-1.32177 61.3081 5.89112	-0.723466 52.9744 5.7599	3.4034 56.5463 7.4209	14.4314 55.3224 9.91583	23.0471 55.7015 10.5282	-3.02058 52.9827 5.79268	-7.07439 56.9954 5.90815	-18.1816 56.1733 8.20889	-26.7191 55.9234 9.54978	2.09713 32.7557 5.32635	2.74183 17.9093 6.62456	3.25173 3.26571 8.56995	-4.64996 32.7473 4.36299	-4.34539 18.0138 6.67542	-4.0566 3.3232 8.28193	
-1.3011 33.7248 5.01141	-1.6205 36.0699 7.27801	-1.74446 39.6282 8.01299	-1.81087 43.2558 8.24287	-1.85378 46.8842 8.01863	-1.85332 56.3375 6.13003	-1.31709 61.3008 5.87192	-0.720784 52.9683 5.7469	3.40554 56.5413 7.40676	14.4346 55.3202 9.8984	23.0502 55.6978 10.5139	-3.01787 52.9754 5.78196	-7.07441 56.9853 5.89717	-18.1842 56.1504 8.18073	-26.7237 55.8904 9.5071	2.10087 32.7516 5.3001	2.73102 17.9122 6.6822	3.25351 3.26192 8.57302	-4.64946 32.741 4.35982	-4.34364 18.0141 6.71344	-4.0564 3.31969 8.28535	
-1.29591 33.7159 4.99461	-1.61191 36.0602 7.26245	-1.73528 39.6181 7.99973	-1.80225 43.2455 8.23304	-1.84637 46.8739 8.00917	-1.85003 56.3267 6.1179	-1.31252 61.2895 5.85306	-0.716649 52.9577 5.73506	3.40971 56.5323 7.39139	14.4402 55.3156 9.8789	23.0557 55.6897 10.4971	-3.01372 52.9641 5.77146	-7.07153 56.9726 5.88929	-18.1847 56.127 8.15226	-26.7265 55.8574 9.46205	2.1075 32.7453 5.27522	2.71998 17.914 6.74881	3.25502 3.25593 8.57483	-4.64499 32.7296 4.35057	-4.33835 18.0103 6.75137	-4.05269 3.31212 8.28776	
-1.292 33.7077 4.97452	-1.60671 36.0512 7.24337	-1.72927 39.6086 7.9832	-1.79572 43.2358 8.22011	-1.84026 46.8642 7.99721	-1.84674 56.3169 6.10518	-1.30891 61.2795 5.83683	-0.712505 52.9481 5.72244	3.41419 56.5234 7.37665	14.4462 55.3093 9.85857	23.0618 55.6799 10.4778	-3.00957 52.9539 5.75919	-7.06961 56.9601 5.87979	-18.185 56.1032 8.12752	-26.7297 55.8313 9.41729	2.11226 32.7389 5.25095	2.70612 17.917 6.82343	3.25663 3.25024 8.57338	-4.64128 32.7197 4.33404	-4.33535 18.0089 6.78652	-4.05213 3.30727 8.28965	
-1.2899 33.7019 4.95202	-1.60516 36.0447 7.22161	-1.72692 39.6013 7.96481	-1.79224 43.2282 8.2062	-1.83673 46.8568 7.98503	-1.84394 56.3098 6.09491	-1.30649 61.2722 5.82285	-0.709823 52.9412 5.71109	3.4172 56.5161 7.36505	14.4512 55.301 9.83737	23.067 55.6693 10.4556	-3.00687 52.9469 5.74866	-7.0702 56.9498 5.86921	-18.1864 56.0786 8.10763	-26.734 55.8073 9.37819	2.11468 32.7341 5.22789	2.69114 17.9229 6.90459	3.26054 3.24762 8.57506	-4.63892 32.7131 4.3115	-4.33664 18.0115 6.81918	-4.05867 3.30661 8.29131	
-1.288 33.6977 4.93052	-1.60617 36.041 7.19913	-1.72797 39.5972 7.94479	-1.79242 43.2238 8.19004	-1.83627 46.8525 7.9713	-1.84168 56.3065 6.08594	-1.30415 61.2688 5.81069	-0.708199 52.9378 5.70044	3.41909 56.511 7.35766	14.4556 55.2915 9.81685	23.0717 55.657 10.4324	-3.00525 52.944 5.73798	-7.07128 56.9441 5.86023	-18.1881 56.0579 8.08948	-26.7379 55.784 9.34451	2.11679 32.7316 5.20946	2.67661 17.9314 6.98656	3.26546 3.248 8.577	-4.63604 32.7072 4.28757	-4.33822 18.0154 6.85234	-4.0641 3.30731 8.29327	
-1.28331 33.6917 4.91212	-1.60602 36.0374 7.17758	-1.729 39.5933 7.92457	-1.79304 43.2197 8.17323	-1.836 46.8485 7.95672	-1.83864 56.3035 6.0764	-1.30233 61.2659 5.80169	-0.705488 52.9349 5.6898	3.42341 56.5039 7.35196	14.4617 55.2795 9.80059	23.0783 55.64 10.4123	-3.00256 52.9414 5.72593	-7.07088 56.9391 5.85243	-18.1886 56.0413 8.07268	-26.7402 55.7642 9.31493	2.12116 32.7265 5.1983	2.66368 17.9374 7.07033	3.2702 3.24611 8.57924	-4.62999 32.6998 4.26418	-4.33944 18.018 6.88615	-4.07009 3.30669 8.29468	
-1.27511 33.6827 4.89931	-1.60483 36.0324 7.15964	-1.72995 39.5881 7.9071	-1.79395 43.2143 8.15919	-1.83558 46.8432 7.94431	-1.83278 56.2988 6.06684	-1.29572 61.2612 5.79299	-0.700198 52.9299 5.68069	3.43024 56.4947 7.34811	14.4695 55.2629 9.7886	23.0868 55.6184 10.3936	-2.99731 52.9372 5.71384	-7.06788 56.9324 5.84487	-18.1861 56.0267 8.05939	-26.7389 55.7473 9.29281	2.12897 32.7194 5.19634	2.65435 17.9398 7.1468	3.27353 3.24159 8.58084	-4.61965 32.6883 4.24425	-4.33823 18.0166 6.92349	-4.07194 3.30168 8.29417	
